event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM49639,2025-04-01,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),Military Forces of Somalia (2022-),External/Other forces,Islamic State Somalia Province,,Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Bari,Qandala,,Buuraha Cali Miskat,10.8548,49.7434,1,AFRICOM; Caasimada; Hiiraan (Somalia); Horseed Media; Puntland Post; Radio Kulmiye; Shabelle Media Network; Somali News Agency,National-Regional,"On 1 April 2025, US forces, in coordination with government security forces (SNA), conducted an airstrike targeting Islamic State Somalia Province hideout in the southeast of Bosaso, in Miraale area in Buuraha Cali Miskat (Qandala, Bari). Multiple militants were killed and wounded. Unspecified number of fatalities coded as 3.",3,,1759790065
SOM49640,2025-04-02,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ethiopia (2018-),Military Forces of Somalia (2022-),External/Other forces,Al Shabaab,Civilians (Somalia),Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Masjid Cali Gaduud,3.1808,46.4354,2,Al Furqaan; Baidoa News Agency; Calamada,National,"On 2 April 2025, Ethiopia security forces (non-AUSSOM), in coordination with government security forces (SNA), conducted an airstrike targeting Al Shabaab near Masjid Cali Gaduud village (Cadale, Middle Shabelle). The airstrike hit civilians in the Xagarey area, injuring at least 2.",0,,1753956296
SOM49641,2025-04-02,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,Military Forces of Somalia (2022-),External/Other forces,Al Shabaab,Civilians (Somalia),Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Middle Shabelle,Balcad,,Warshiikh,2.2983,45.7980,2,Radio Kulmiye,National,"On 2 April 2025, international forces (described as allied forces, coded as Unidentified Military Forces), in coordination with government security forces (SNA), conducted an airstrike targeting Al Shabaab, but the airstrike hit civilians in Gumarey village near Warshiikh village (Balcad, Middle Shabelle). An unknown number of civilians were killed and wounded. Unspecified number of fatalities coded as 3.",3,,1753970711
SOM49642,2025-04-03,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,Military Forces of Somalia (2022-),External/Other forces,Al Shabaab,,Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Geel Gub,2.9822,46.2872,1,Radio Kulmiye,National,"On 3 April 2025, international forces (described as allied forces, coded as Unidentified Military Forces), in coordination with government security forces (SNA), conducted an airstrike targeting Al Shabaab in Geel Gub village (Cadale, Middle Shabelle). Casualties unknown.",0,,1753970711
SOM49644,2025-04-03,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Unidentified Clan Militia (Somalia),Protesters,,,,Protesters only,,706,Eastern Africa,Somalia,Nugaal,Burtinle,,Burtinle,7.6167,47.8333,1,Puntland Post; Radio Kulmiye,National,"On 3 April 2025, unidentified clan militia blocked the main entrance roads (means unspecified) in Burtinle town (Burtinle, Nugaal) in protest against the increased vehicle taxes by the Puntland administration. The militia demanded that the local administration withdraw the excessive taxes.",0,crowd size=no report,1744085449
SOM49645,2025-04-03,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,Military Forces of Somalia (2022-),External/Other forces,Al Shabaab,,Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Bursha Shiikh,2.9373,46.0126,1,Radio Kulmiye,National,"On 3 April 2025, international forces (described as allied forces, coded as Unidentified Military Forces), in coordination with government security forces (SNA), conducted an airstrike targeting Al Shabaab in Bursha Shiikh village (Cadale, Middle Shabelle). Casualties unknown.",0,,1753970711
SOM49647,2025-04-03,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United Arab Emirates (2022-),Military Forces of Somalia (2022-) Puntland Dervish Force; Police Forces of Somalia (2022-) Puntland Maritime Police Force,External/Other forces,Islamic State Somalia Province,,Rebel group,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Bari,Qandala,,Buuraha Cali Miskat,10.8548,49.7434,1,Caasimada; Goobjoob; Hiiraan (Somalia); Puntland Post; Undisclosed Source,Local partner-Other,"On 3 April 2025, UAE forces in coordination with Puntland Maritime Police Force (PMPF) and Puntland Dervish Force conducted an airstrike targeting Islamic State Somalia Province bases in Miraale area in Buuraha Cali Miskat (Qandala, Bari). An unknown number of militants were killed and wounded. Unspecified number of fatalities coded as 3.",3,,1759790065
SOM49659,2025-04-01,2025,1,Political violence,Battles,Armed clash,Police Forces of Somalia (2022-) Southwest Special Police Forces,,State forces,Al Shabaab,,Rebel group,State forces-Rebel group,,706,Eastern Africa,Somalia,Bay,Qansax Dheere,,Qansax Dheere,2.8712,43.0043,1,Caasimada; Hiiraan (Somalia); Radio Risala,National,"On 1 April 2025, Southwest Special Police Forces (SWSPF) ambushed Al Shabaab and engaged them in an armed clash in the vicinity of Qansax Dheere town (Qansax Dheere, Bay). At least 4 militants were killed, including 1 senior fighter.",4,,1753971829
SOM49661,2025-04-01,2025,1,Political violence,Battles,Armed clash,Al Shabaab,,Rebel group,Military Forces of Somalia (2022-),,State forces,State forces-Rebel group,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Buufow Bacaad,1.7493,44.7437,2,Undisclosed Source,Local partner-Other,"On 1 April 2025, Al Shabaab ambushed government security forces (SNA) and engaged them in an armed clash between K60 and Buufow Bacaad, near Buufow Bacaad village (Marka, Lower Shabelle). 1 soldier was injured.",0,,1753971829
SOM49662,2025-04-02,2025,1,Political violence,Battles,Armed clash,Hawiye-Habar Gedir-Sacad Sub-Clan Militia (Somalia),,Identity militia,Darod-Leelkayse Sub-Clan Militia (Somalia),,Identity militia,Identity militia-Identity militia,,706,Eastern Africa,Somalia,Mudug,Gaalkacyo,,Jiic boor,6.7519,47.0796,1,Caasimada; Goobjoob; Hiiraan (Somalia); Radio Dalsan; Radio Kulmiye; Radio Risala,National,"On 2 April 2025, Habar Gedir-Sacad and Leelkayse clan militia clashed in the vicinity of Jiic boor village (Gaalkacyo, Mudug) and Saaxqurun (coded separately). The motive was due to clan revenge and land dispute. At least 10 people were killed. 10 fatalities split across 2 events and coded as 5 for this event.",5,,1757377219
